https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1636927200000,2021-11-14 22:00:00,USDC/USDT,0.99970000,0.99980000,0.99970000,0.99980000,1766790.00000000,1766358.69060000,1086
1636923600000,2021-11-14 21:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99970000,1979418.00000000,1978919.32860000,1030
1636920000000,2021-11-14 20:00:00,USDC/USDT,0.99970000,0.99980000,0.99970000,0.99980000,2616860.00000000,2616205.22620000,1252
1636916400000,2021-11-14 19:00:00,USDC/USDT,0.99970000,0.99980000,0.99970000,0.99980000,2462721.00000000,2462129.62170000,1293
1636912800000,2021-11-14 18:00:00,USDC/USDT,0.99970000,0.99980000,0.99970000,0.99980000,5037078.00000000,5035775.41650000,1328
1636909200000,2021-11-14 17:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99970000,3374790.00000000,3373931.84670000,1357
1636905600000,2021-11-14 16:00:00,USDC/USDT,0.99970000,0.99980000,0.99970000,0.99980000,4625910.00000000,4624750.84960000,1794
1636902000000,2021-11-14 15:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99980000,2810032.00000000,2809340.45150000,1227
1636898400000,2021-11-14 14:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99970000,2747796.00000000,2747127.64810000,1145
1636894800000,2021-11-14 13:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99980000,2406270.00000000,2405711.75660000,1183
1636891200000,2021-11-14 12:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99970000,2813700.00000000,2813015.63550000,1299
1636887600000,2021-11-14 11:00:00,USDC/USDT,0.99990000,0.99990000,0.99970000,0.99970000,5932401.00000000,5931314.66270000,1738
1636884000000,2021-11-14 10:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99980000,2091716.00000000,2091423.22630000,1098
1636880400000,2021-11-14 09:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99990000,1351612.00000000,1351408.26600000,930
1636876800000,2021-11-14 08:00:00,USDC/USDT,0.99990000,0.99990000,0.99980000,0.99990000,2657403.00000000,2657029.78080000,958
1636873200000,2021-11-14 07:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99980000,2825145.00000000,2824752.03420000,1052
1636869600000,2021-11-14 06:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99980000,3541951.00000000,3541369.21740000,851
